filename,description
SRR1525290_1.fastq.gz,SRR1525290
SRR1525291_1.fastq.gz,SRR1525291
SRR1525292_1.fastq.gz,SRR1525292
SRR1525293_1.fastq.gz,SRR1525293
SRR1525294_1.fastq.gz,SRR1525294
SRR1525295_1.fastq.gz,SRR1525295
SRR1525296_1.fastq.gz,SRR1525296
SRR1525297_1.fastq.gz,SRR1525297
SRR1525298_1.fastq.gz,SRR1525298
SRR1525308_1.fastq.gz,SRR1525308
SRR1525309_1.fastq.gz,SRR1525309
SRR1525310_1.fastq.gz,SRR1525310
SRR1525311_1.fastq.gz,SRR1525311
SRR1525312_1.fastq.gz,SRR1525312
SRR1525313_1.fastq.gz,SRR1525313
SRR1525314_1.fastq.gz,SRR1525314
SRR1525315_1.fastq.gz,SRR1525315
SRR1525316_1.fastq.gz,SRR1525316
SRR1525317_1.fastq.gz,SRR1525317
SRR1525318_1.fastq.gz,SRR1525318
SRR1525323_1.fastq.gz,SRR1525323
SRR1525324_1.fastq.gz,SRR1525324
SRR1525325_1.fastq.gz,SRR1525325
SRR1525326_1.fastq.gz,SRR1525326
SRR1525327_1.fastq.gz,SRR1525327
SRR1525328_1.fastq.gz,SRR1525328
SRR1525329_1.fastq.gz,SRR1525329
SRR1525330_1.fastq.gz,SRR1525330
SRR1525331_1.fastq.gz,SRR1525331
SRR1525342_1.fastq.gz,SRR1525342
SRR1525343_1.fastq.gz,SRR1525343
SRR1525344_1.fastq.gz,SRR1525344
SRR1525345_1.fastq.gz,SRR1525345
SRR1525346_1.fastq.gz,SRR1525346
SRR1525347_1.fastq.gz,SRR1525347
SRR1525348_1.fastq.gz,SRR1525348
SRR1525349_1.fastq.gz,SRR1525349
SRR1525350_1.fastq.gz,SRR1525350
SRR1525351_1.fastq.gz,SRR1525351
SRR1525352_1.fastq.gz,SRR1525352
SRR1525353_1.fastq.gz,SRR1525353
SRR1525354_1.fastq.gz,SRR1525354
SRR1525355_1.fastq.gz,SRR1525355
SRR1525356_1.fastq.gz,SRR1525356
SRR1525357_1.fastq.gz,SRR1525357
SRR1525361_1.fastq.gz,SRR1525361
SRR1525362_1.fastq.gz,SRR1525362
SRR1525363_1.fastq.gz,SRR1525363
SRR1525364_1.fastq.gz,SRR1525364
SRR1525365_1.fastq.gz,SRR1525365
SRR1525366_1.fastq.gz,SRR1525366
SRR1525367_1.fastq.gz,SRR1525367
SRR1525368_1.fastq.gz,SRR1525368
SRR1525369_1.fastq.gz,SRR1525369
SRR1525370_1.fastq.gz,SRR1525370
SRR1525380_1.fastq.gz,SRR1525380
SRR1525381_1.fastq.gz,SRR1525381
SRR1525382_1.fastq.gz,SRR1525382
SRR1525383_1.fastq.gz,SRR1525383
SRR1525384_1.fastq.gz,SRR1525384
SRR1525385_1.fastq.gz,SRR1525385
SRR1525386_1.fastq.gz,SRR1525386
SRR1525387_1.fastq.gz,SRR1525387
SRR1525388_1.fastq.gz,SRR1525388
SRR1525389_1.fastq.gz,SRR1525389
SRR1525390_1.fastq.gz,SRR1525390
SRR6279056_1.fastq.gz,SRR6279056
SRR6279057_1.fastq.gz,SRR6279057
SRR6279058_1.fastq.gz,SRR6279058
SRR6279059_1.fastq.gz,SRR6279059
SRR6279060_1.fastq.gz,SRR6279060
SRR6279061_1.fastq.gz,SRR6279061
SRR6279062_1.fastq.gz,SRR6279062
SRR6279063_1.fastq.gz,SRR6279063
SRR6279064_1.fastq.gz,SRR6279064
SRR6279065_1.fastq.gz,SRR6279065
SRR6279066_1.fastq.gz,SRR6279066

